,myPGD,myBIM,myCW,myDeepFool
OCSVM,0.7533608900000002,0.72205219,0.875818965,0.8604079099999999
LOF,0.55073007,0.5017852600000001,0.50052445,0.5433458099999999
IF,0.543598915,0.507934825,0.5173421500000001,0.535235395
MD,0.56164854,0.5642734150000001,0.6066415949999999,0.674408325
